,segment_id,scenario_id,direction_veh,left_veh_id,stra_veh_id,PET,PET_abs
0,0,0,west,1618,1764,5,5
1,0,1,west,1619,1770,2.4,2.4
2,0,2,west,1621,1776,2.6,2.6
3,0,3,west,1624,1778,2.1,2.1
4,0,4,west,1625,1783,3.3,3.3
5,0,5,west,1626,1788,1.4,1.4
6,0,6,west,1627,1805,2.6,2.6
7,0,7,west,1628,1813,3.1,3.1
8,0,8,west,1633,1843,2,2
9,0,9,west,1634,1848,1.7,1.7
10,0,10,west,1635,1860,10.3,10.3
11,0,12,west,1639,1878,3.6,3.6
12,0,13,west,1644,1885,4.8,4.8
13,0,15,west,1660,1956,1.9,1.9
14,0,16,west,1662,1997,3.3,3.3
15,0,19,west,1670,2041,3.8,3.8
16,0,20,west,1671,2044,5.1,5.1
17,0,21,west,1675,2064,3,3
18,0,22,west,1681,2098,3.6,3.6
19,0,23,west,1687,2123,2.8,2.8
20,0,24,west,1688,2127,4.5,4.5
21,0,25,west,1691,2142,3.1,3.1
22,0,28,west,1703,2168,9,9
23,0,30,west,1713,2190,3,3
24,0,31,west,1723,2215,2,2
25,0,32,west,1731,2229,2.6,2.6
26,0,33,west,1734,2253,1.6,1.6
27,0,34,west,1735,2254,2.4,2.4
28,0,35,west,1740,2287,2.2,2.2
29,0,36,west,1741,2287,3.3,3.3
30,0,37,west,1747,2306,4.1,4.1
31,0,38,west,1749,2317,2.6,2.6
32,0,39,west,1754,2325,2.1,2.1
33,0,42,west,1760,2356,3.3,3.3
34,0,4,south,761,996,6.1,6.1
35,0,6,south,771,1006,4.1,4.1
36,0,12,south,785,1036,5.7,5.7
37,0,15,south,793,1049,3.2,3.2
38,0,17,south,798,1056,3.4,3.4
39,0,18,south,799,1058,3,3
40,0,24,south,826,1096,2.8,2.8
41,0,25,south,827,1110,2.7,2.7
42,0,27,south,830,1112,4.9,4.9
43,0,30,south,838,1131,4.8,4.8
44,0,37,south,855,1174,5.5,5.5
45,0,38,south,857,1179,2.9,2.9
46,0,40,south,861,1186,3.5,3.5
47,0,43,south,867,1208,4.2,4.2
48,0,50,south,880,1244,3.1,3.1
49,0,57,south,891,1274,2.9,2.9
50,0,66,south,919,1318,4.4,4.4
51,0,73,south,950,1364,9,9
52,0,77,south,967,1388,5.2,5.2
,,,,,,3.690566038,
