,segment_id,scenario_id,scoring_left,scoring_straight
0,566,52,0.8609476380337376,0.8609476380337376
1,572,42,0.44369110208838797,0.44369110208838797
2,573,31,0.4774321913566073,0.4774321913566073
3,573,40,0.8990287979728586,0.8990287979728586
4,593,36,0.8260410567909338,0.8260410567909338
5,597,29,0.8563432599176244,0.8563432599176244
6,610,67,-0.2331165309616498,-0.2331165309616498
7,634,52,0.8415792624852451,0.8415792624852451
8,660,6,0.7879550740113835,0.7879550740113835
9,684,40,0.09249957530951027,0.09249957530951027
10,698,43,0.8549629972158593,0.8549629972158593
11,700,22,0.78386618761168,0.78386618761168
12,738,49,0.5384992428426176,0.5384992428426176
13,753,49,0.523648927529732,0.523648927529732
14,758,51,0.3984789744445394,0.3984789744445394
15,761,16,0.4711437378142916,0.4711437378142916
16,763,23,-0.31914962278155823,-0.31914962278155823
17,780,39,0.7779029044727668,0.7779029044727668
