,segment_id,scenario_id,scoring_left,scoring_straight
0,220,34,0.46045854169998907,0.46045854169998907
1,242,51,0.8437303202435938,0.8437303202435938
2,266,25,0.7469726981835686,0.7469726981835686
3,296,35,0.8763708612049228,0.8763708612049228
4,303,9,0.28646567899983255,0.28646567899983255
5,306,30,-0.5267966352843485,-0.5267966352843485
6,306,36,0.620456831046107,0.620456831046107
7,307,57,-0.7955613939374209,-0.7955613939374209
8,308,53,0.8017502532735318,0.8017502532735318
9,313,53,-0.374428781887179,-0.374428781887179
10,381,3,0.8222902709863844,0.8222902709863844
11,396,61,-0.10403381162868311,-0.10403381162868311
12,414,65,0.7825648924279145,0.7825648924279145
13,461,54,0.6994676319420202,0.6994676319420202
14,476,56,0.5747017518686166,0.5747017518686166
15,517,34,-0.6935699373291544,-0.6935699373291544
16,530,57,0.5938514390827604,0.5938514390827604
