,segment_id,scenario_id,scoring_left,scoring_straight
0,0,34,-0.8160490287552182,-0.8160490287552182
1,5,78,-0.06257065432242638,-0.06257065432242638
2,82,8,0.825976788646934,0.825976788646934
3,98,26,-0.8422314406407574,-0.8422314406407574
4,144,15,0.7636458374554428,0.7636458374554428
5,146,2,0.7422325090899328,0.7422325090899328
6,154,76,0.8242131987777848,0.8242131987777848
7,181,56,0.717111645110735,0.717111645110735
8,187,75,-0.7800628606724187,-0.7800628606724187
9,193,56,-0.008971966630056259,-0.008971966630056259
10,202,37,-0.2934571631079412,-0.2934571631079412
