,segment_id,scenario_id,risk_down,risk_up,scoring_left,scoring_straight
0,542,53,0.3,0.5,0.15756236708686272,0.07005735944631672
1,566,52,0.3,0.5,-0.5053454688875315,-0.11727911999388803
2,568,42,0.3,0.5,-0.35554371206187335,-0.06763998120097658
3,572,42,0.3,0.5,-0.2858636555379341,0.08615707237041566
4,572,62,0.3,0.5,-0.38095739057113553,0.035803193695096464
5,573,31,0.3,0.5,-0.17880970670473412,0.07579356410780136
6,573,40,0.3,0.5,-0.25587820268039624,0.07013916944032
7,578,9,0.3,0.5,-0.05857824060524104,0.19947016056175487
8,588,64,0.3,0.5,-0.3161998561138855,-0.32713377315465464
9,591,21,0.3,0.5,0.18969424631257426,0.05000150527805071
10,593,36,0.3,0.5,-0.48448216281665996,0.1102729920365865
11,597,29,0.3,0.5,-0.412566011586466,-0.012216333638783248
12,610,67,0.3,0.5,0.3176291550621786,0.03697783113509784
13,615,13,0.3,0.5,0.015070133708902877,-0.1793510914757887
14,634,52,0.3,0.5,0.1426012686302408,0.0697533724409895
15,644,40,0.3,0.5,0.23257964660424263,0.031784983200861816
16,660,6,0.3,0.5,-0.10117555898810056,-0.07001199618139234
17,680,36,0.3,0.5,-0.20030326086536954,0.06332833706472238
18,684,40,0.3,0.5,-0.22000345078823286,-0.05989192623206072
19,698,43,0.3,0.5,-0.2727404616115271,-0.08032553700906404
20,700,22,0.3,0.5,-0.1459684572128148,0.3252468904214805
21,707,63,0.3,0.5,0.1251365485749539,0.203076096257925
22,726,36,0.3,0.5,0.07030410259339716,0.011356315911839157
23,738,49,0.3,0.5,0.07571943082755961,-0.0374021771764257
24,739,26,0.3,0.5,0.5213369963767978,0.06375479172005491
25,758,51,0.3,0.5,-0.034535066463041275,0.34433230354529426
26,760,17,0.3,0.5,0.0047882074044252425,0.014571325617240428
27,761,16,0.3,0.5,-0.21010667232601202,0.10889919068671398
28,763,23,0.3,0.5,-0.15809413711396453,-0.1989020854701099
29,769,39,0.3,0.5,0.13914919832739484,-0.15899543108700095
30,773,63,0.3,0.5,-0.019010650904135666,0.24544630174175333
31,780,25,0.3,0.5,-0.306481082785661,-0.05091184931021146
32,780,39,0.3,0.5,0.00627792927788045,-0.08317665405018945
33,791,13,0.3,0.5,0.2511946847276373,-0.2881809695926159
34,793,59,0.3,0.5,-0.16685671903148902,0.012871506427545207
35,794,39,0.3,0.5,-0.2566874142733524,-0.043671629229218474
36,803,71,0.3,0.5,-0.04022719793020832,0.12858674702747633
37,807,11,0.3,0.5,0.2378344037335076,0.03959259181211074
38,815,5,0.3,0.5,-0.1463430537098209,-0.04719884420407568
39,815,27,0.3,0.5,-0.23850708407917898,-0.1089685699735829
40,828,57,0.3,0.5,0.6608675464544421,0.08772603590331154
41,840,51,0.3,0.5,-0.07419425461921612,0.20508381315388186
42,853,17,0.3,0.5,0.1969127174750422,-0.5453628307938976
43,864,19,0.3,0.5,-0.20187869563009836,0.22613230235589105
44,869,14,0.3,0.5,0.020324486030579424,0.2592397053101968
45,880,27,0.3,0.5,-0.16120111078945493,-0.030481778671781777
46,882,69,0.3,0.5,0.1671843921015958,0.17317913894675332
47,888,42,0.3,0.5,-0.054926009533080467,-0.011502788239530302
48,891,8,0.3,0.5,-0.23792451105350884,0.08048539798251324
49,913,61,0.3,0.5,-0.023381458113240626,0.09086735862880758
50,917,43,0.3,0.5,0.015001421873649185,0.05865652337398786
51,924,3,0.3,0.5,-0.1583068391056648,0.3061744003998483
52,932,36,0.3,0.5,-0.20113256606143282,0.23149813861290688
53,937,23,0.3,0.5,-0.09617114956105483,-0.016489393120898536
54,940,8,0.3,0.5,0.7462414281052185,0.39633692924234165
55,949,44,0.3,0.5,-0.2764508641775957,0.2995763898796697
56,951,65,0.3,0.5,0.05187846876656118,-0.25097256699778775
57,954,16,0.3,0.5,-0.3165122502836934,0.030534430132316527
58,967,6,0.3,0.5,0.04388671232693373,-0.13502493165698715
59,972,65,0.3,0.5,-0.061367527583087104,-0.138904022411593
60,981,53,0.3,0.5,-0.23023443773631694,0.30570136492957295
61,987,9,0.3,0.5,0.2626832898013902,0.031174179536495
62,989,72,0.3,0.5,-0.020963017256335606,0.07828750606682883
63,995,62,0.3,0.5,0.541739691777102,-0.0964646922215316
64,542,53,0.4,0.6,0.15576484706298763,0.04349471849782485
65,566,52,0.4,0.6,-0.5083362329698666,-0.10697499930805685
66,568,42,0.4,0.6,-0.3465620703877532,-0.07210058301764566
67,572,42,0.4,0.6,-0.22604102992452177,0.08168016874681332
68,572,62,0.4,0.6,-0.37648492681595175,0.039109102679409716
69,573,31,0.4,0.6,-0.19688097621194703,0.07899403930423286
70,573,40,0.4,0.6,-0.2131892442052866,0.02791155599972325
71,578,9,0.4,0.6,-0.06421104222269786,0.2001314542112579
72,588,64,0.4,0.6,-0.31568155162083666,-0.32435805111934146
73,591,21,0.4,0.6,0.1275719471834126,0.047932555459751516
74,593,36,0.4,0.6,-0.49818893089970956,0.11828785297507736
75,597,29,0.4,0.6,-0.4257770846709599,-0.01451084856570426
76,610,67,0.4,0.6,0.3165379573763824,0.0357274527796357
77,615,13,0.4,0.6,0.011899290604070249,-0.18051832849129756
78,634,52,0.4,0.6,0.14853278549114976,0.02211533612435424
79,644,40,0.4,0.6,0.21543738083074973,0.03452911652844945
80,660,6,0.4,0.6,-0.06583456303951062,-0.06862710311037526
81,680,36,0.4,0.6,-0.20150064524467304,0.06816266252113702
82,684,40,0.4,0.6,-0.20659549370617147,-0.05124904820186772
83,698,43,0.4,0.6,-0.28317001189674523,-0.09929578748108311
84,700,22,0.4,0.6,-0.14774853457599962,0.3278087812000645
85,707,63,0.4,0.6,0.12351752158181499,0.20171843085417843
86,726,36,0.4,0.6,0.07208431117020238,0.014344264576811358
87,738,49,0.4,0.6,0.09160160275325419,-0.0030584412681241937
88,739,26,0.4,0.6,0.5213182203714423,0.06128592171549733
89,758,51,0.4,0.6,-0.03474785189166554,0.36737270818910384
90,760,17,0.4,0.6,0.0057422849666753885,0.021700858707452298
91,761,16,0.4,0.6,-0.20641176336200748,0.1377654242084797
92,763,23,0.4,0.6,-0.14143010634690176,-0.23287085180813402
93,769,39,0.4,0.6,0.14411775041111174,-0.20291224061897636
94,773,63,0.4,0.6,-0.017063481366551787,0.2621569824672614
95,780,25,0.4,0.6,-0.35741096511624754,-0.07510187878650278
96,780,39,0.4,0.6,0.016626234875026274,-0.07697979102991304
97,791,13,0.4,0.6,0.08024704047438573,-0.27828024686471836
98,793,59,0.4,0.6,-0.12727215007298517,-0.000800223956739862
99,794,39,0.4,0.6,-0.25096536112399104,-0.04197333154439399
100,803,71,0.4,0.6,-0.0487666111325138,0.12627809789336225
101,807,11,0.4,0.6,0.23268096931559976,0.045105405443756935
102,815,5,0.4,0.6,-0.15100068538165992,-0.0456931382809924
103,815,27,0.4,0.6,-0.23734150197932444,-0.11462971123039827
104,828,57,0.4,0.6,0.6174893288246937,0.0929525113955274
