,segment_id,scenario_id,risk_down,risk_up,scoring_left,scoring_straight
0,0,34,0.3,0.5,-0.34860814712070903,-0.13653815583498505
1,5,78,0.3,0.5,-0.12138406553469168,-0.023797586415068583
2,7,11,0.3,0.5,0.23350476010168134,-0.15000753918174145
3,13,36,0.3,0.5,-0.5122949579547006,0.05773912383688878
4,26,63,0.3,0.5,0.009854695710094312,-0.008893221651394174
5,32,39,0.3,0.5,0.5424563782766327,-0.03471308291943091
6,32,62,0.3,0.5,-0.019748255985561368,0.2468478594060588
7,64,43,0.3,0.5,0.1696575988188247,0.006174302547218838
8,78,51,0.3,0.5,-0.06794598987711706,-0.043834867883210483
9,82,8,0.3,0.5,0.23869196789265335,-0.21785123647353843
10,94,67,0.3,0.5,0.11810470641937931,0.18888215231765312
11,98,26,0.3,0.5,-0.01806202971066578,0.08171011021809395
12,100,49,0.3,0.5,0.2830926795096023,-0.147457065256184
13,102,11,0.3,0.5,0.1142299379488984,-0.018231688985992034
14,103,54,0.3,0.5,0.16719817648868665,0.07000964316461322
15,111,87,0.3,0.5,0.016715276547118085,0.1147585092341595
16,119,52,0.3,0.5,0.09449378576615873,-0.23201631720410443
17,144,15,0.3,0.5,-0.3807294852232819,0.20622855889812186
18,146,2,0.3,0.5,-0.10947949749551547,0.18479861960831592
19,147,46,0.3,0.5,0.11516202153778572,0.003741933866855589
20,151,57,0.3,0.5,-0.2763632146003079,0.026685901477922193
21,154,72,0.3,0.5,0.04294512578449638,-0.10337952473231497
22,154,76,0.3,0.5,-0.43650759727073085,0.04545493316937395
23,162,77,0.3,0.5,-0.5304284230631802,-0.02851194071770215
24,170,1,0.3,0.5,-0.18625389974087056,0.13708474500388623
25,171,68,0.3,0.5,-0.05215197526207122,-0.2727448464544201
26,174,17,0.3,0.5,0.13939327880534758,-0.17559844926693166
27,181,56,0.3,0.5,-0.3816849707568208,-0.09120959515210422
28,187,75,0.3,0.5,-0.13498081200295717,0.007872197972216438
29,190,8,0.3,0.5,0.15691437508923534,0.14192596376019695
30,193,44,0.3,0.5,-0.44949573612610083,-0.013562072909553222
31,193,56,0.3,0.5,0.014935415202263755,-0.06448459855226847
32,196,52,0.3,0.5,-0.11726151172975516,0.10676251477204828
33,202,37,0.3,0.5,0.0005996974954975096,-0.2565408806209092
34,209,3,0.3,0.5,-0.14682441999991616,-0.16656505545076633
35,217,53,0.3,0.5,-0.5687535469069795,0.0075213919820717725
36,220,34,0.3,0.5,-0.17034331080903536,0.08736634285515169
37,228,55,0.3,0.5,0.0007288286223306671,0.05942276716321654
38,242,51,0.3,0.5,-0.4235924310479972,-0.03685028958251889
39,251,4,0.3,0.5,-0.2858519986035267,0.06718803341704771
40,266,25,0.3,0.5,-0.038793300136119584,-0.009923136802013477
41,276,30,0.3,0.5,0.21400292733287418,0.10627888978308363
42,296,35,0.3,0.5,-0.5960240692686388,0.13554304016773297
43,303,9,0.3,0.5,-0.13028382270526925,0.0130963239973535
44,306,30,0.3,0.5,0.02879287661594729,-0.09676155322172207
45,306,36,0.3,0.5,0.07994406942018296,-0.06004726258915861
46,307,57,0.3,0.5,-0.21459669072436652,-0.08875910108702521
47,308,11,0.3,0.5,0.534531341719853,0.12794626174464416
48,308,53,0.3,0.5,0.15170037423399332,0.1705985555415878
49,313,53,0.3,0.5,-0.12948461527098384,0.10868470145429437
50,321,59,0.3,0.5,-0.5346671493988403,0.04480729867114563
51,381,3,0.3,0.5,-0.2311341658449742,-0.02410476636856426
52,396,61,0.3,0.5,-0.191098325238062,-0.009239278837301398
