,segment_id,scenario_id,risk_down,risk_up,scoring_left,scoring_straight
89,181,56,0.4,0.6,-0.36479684081109226,-0.11236977155748024
90,187,75,0.4,0.6,-0.1350341470790038,0.003690170800690925
91,190,8,0.4,0.6,0.15473513745197695,0.004955257690158008
92,193,44,0.4,0.6,-0.27650665964537346,0.24190428985674417
93,193,56,0.4,0.6,0.013914314552675845,-0.07594225946926707
94,196,52,0.4,0.6,-0.09380988202066692,0.11725246928967675
95,202,37,0.4,0.6,0.0498789455466974,0.09003852689705524
96,209,3,0.4,0.6,-0.14589203531119788,0.026341026993105393
97,217,53,0.4,0.6,-0.6327826166544854,0.038786219939070915
98,220,34,0.4,0.6,-0.18948663644209082,0.0179149781019344
99,228,55,0.4,0.6,0.013182167890944093,0.10081196071807505
100,242,51,0.4,0.6,-0.41775392885122714,-0.15778039758882817
101,251,4,0.4,0.6,-0.3002397507680549,0.08479008758476712
102,266,25,0.4,0.6,-0.031449122066278194,0.060501382152487945
103,276,30,0.4,0.6,0.2081100422753708,0.1323219825746801
104,296,35,0.4,0.6,-0.5894718471341605,0.12424610038852466
105,303,9,0.4,0.6,-0.15137306788725383,0.09882625837893144
106,306,30,0.4,0.6,0.008838016701914312,0.058335606155261135
107,306,36,0.4,0.6,0.13698710890372065,0.005022297497225043
108,307,57,0.4,0.6,-0.21453467947142868,-0.08049808421935442
109,308,11,0.4,0.6,0.5298827362524433,0.10974859873448863
110,308,53,0.4,0.6,0.15968468776874967,0.1744281917882833
111,313,53,0.4,0.6,-0.13035459162178095,0.12265775641432063
112,321,59,0.4,0.6,-0.4708317669565768,0.04511614679022997
113,381,3,0.4,0.6,-0.23659407355783,0.041880978752284366
114,396,61,0.4,0.6,-0.17737615561832043,0.11229838581894142
115,414,65,0.4,0.6,0.0753335110187304,0.11139831852355105
116,430,62,0.4,0.6,0.19010604236842144,-0.04594875556656117
117,454,67,0.4,0.6,0.29578251586973753,0.27548058544318216
118,461,54,0.4,0.6,0.14939929064994,-0.1723169100112124
119,476,56,0.4,0.6,-0.3277574033885282,0.10846782207445796
120,487,12,0.4,0.6,0.041024797278138986,0.12482172752524909
121,501,42,0.4,0.6,-0.14543385718926224,0.1384561472562113
122,517,34,0.4,0.6,0.06049749002092198,-0.15318780631832832
123,530,57,0.4,0.6,-0.13579731269395737,-0.014287270714461
124,0,34,0.6,0.8,0.1514468645203583,-0.061550198619169286
125,5,78,0.6,0.8,-0.06471113520353615,-0.023202057886182077
126,7,11,0.6,0.8,0.2339625453346344,-0.1501526893594111
127,13,36,0.6,0.8,-0.4294737638311948,0.06422896362420315
128,26,63,0.6,0.8,0.015064925746246195,-0.00971576748293128
129,32,39,0.6,0.8,0.5415623999877479,-0.034339359350974284
130,32,62,0.6,0.8,-0.006818865865556219,0.2552095733747491
131,64,43,0.6,0.8,0.18755039566116372,0.012288717977854241
132,78,51,0.6,0.8,-0.04923261498141336,-0.03036680630345493
133,82,8,0.6,0.8,0.33827207963124,-0.20774009208382482
134,94,67,0.6,0.8,0.11198459171815166,0.18587636408728186
135,98,26,0.6,0.8,-0.019068577881117297,0.08894811300204827
136,100,49,0.6,0.8,0.2808377390493731,-0.14326082544064828
137,102,11,0.6,0.8,0.1160330276998366,0.01997667234386595
138,103,54,0.6,0.8,0.18586338930569066,0.07081576799031086
139,111,87,0.6,0.8,0.035988807791945986,0.11480158889409496
140,119,52,0.6,0.8,0.12051644770352328,-0.09460729637840828
141,144,15,0.6,0.8,-0.3805046561393738,0.22358858437996884
142,146,2,0.6,0.8,-0.10050408704948507,0.1812329663666434
143,147,46,0.6,0.8,0.11469425250585429,-0.0005223036465575354
144,151,57,0.6,0.8,-0.25717311459353026,0.04135375520014962
145,154,72,0.6,0.8,0.06237872627777601,-0.11657253443564604
146,154,76,0.6,0.8,-0.4366351320591643,0.05466027014876976
147,162,77,0.6,0.8,-0.5153539747780719,-0.033362487542564795
148,170,1,0.6,0.8,-0.15387017820547672,0.1392999984317568
149,171,68,0.6,0.8,-0.05078215178991756,-0.2526181716563602
150,174,17,0.6,0.8,0.14197418110413376,-0.17168467454198366
151,181,56,0.6,0.8,-0.36648259170048614,-0.030801104940314634
152,187,75,0.6,0.8,-0.13574161154203337,-0.02165932468497672
153,190,8,0.6,0.8,0.16244100987419557,0.0036549583683790025
154,193,44,0.6,0.8,-0.34792767444049955,0.17567856153560235
155,193,56,0.6,0.8,0.009739049526480177,-0.06754601639817137
156,196,52,0.6,0.8,-0.11043863253311587,0.11670497680672723
157,202,37,0.6,0.8,0.041829973130605436,-0.2589141706093419
158,209,3,0.6,0.8,-0.14955937394138236,0.14437718946953335
159,217,53,0.6,0.8,-0.5403069321907532,-0.0004666065512085329
160,220,34,0.6,0.8,-0.1791995446056022,0.09222703893180915
161,228,55,0.6,0.8,-0.0002164016170529841,0.0642362576772482
162,242,51,0.6,0.8,-0.4170099995260384,-0.1203917642503157
163,251,4,0.6,0.8,-0.28437339050650334,0.0613221942318805
164,266,25,0.6,0.8,-0.03385164449611742,0.03599644806307952
165,276,30,0.6,0.8,0.2300862469190115,0.11197550212208651
166,296,35,0.6,0.8,-0.5830772294879066,0.13475305716362862
167,303,9,0.6,0.8,-0.1491936927497592,0.009827763945241569
168,306,30,0.6,0.8,-0.014649282260857988,0.05199395218437633
169,306,36,0.6,0.8,0.08558280004015735,0.01429153141925052
170,307,57,0.6,0.8,-0.19028230466557866,-0.08829037492428832
171,308,11,0.6,0.8,0.5405026250344575,0.10543766534298839
172,308,53,0.6,0.8,0.15174228356986866,0.16064728035162495
173,313,53,0.6,0.8,-0.13189514401234848,0.11033529581216416
174,321,59,0.6,0.8,-0.5072057260556864,0.04514131787521962
175,381,3,0.6,0.8,-0.23702163060069034,-0.02090375097177532
176,396,61,0.6,0.8,-0.21909426174005261,0.04636242554401901
177,414,65,0.6,0.8,0.08722157246992766,0.117910546365888
178,430,62,0.6,0.8,0.2192910997116147,-0.03154488558401229
179,454,67,0.6,0.8,0.29338016152089175,0.21377020115971174
180,461,54,0.6,0.8,0.12646381344666355,-0.1803623487909561
181,476,56,0.6,0.8,-0.3279559910738486,0.07490599187381022
182,487,12,0.6,0.8,0.03386046118372587,0.1264512725076522
183,501,42,0.6,0.8,-0.08575354662993459,0.027016430916661834
184,517,34,0.6,0.8,0.021524171311980637,-0.023733506303863932
185,530,57,0.6,0.8,-0.06966683548480931,-0.004870533396043038
